"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720070","3.3.2.1","15.9","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720076","3.4.1.1","103.7","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642720077","3.4.1.2","102.6","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642720078","3.4.2.1","7.2","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642720084","3.5.1.1","7.8","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1642720085","3.5.1.2","7.9","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Unemployment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642720086","3.5.2.1","0.5","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Participation rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642720092","3.6.1.1","67.1","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Participation rate","Estimate","Unadjusted","Percent","239","units","0","v1642720093","3.6.1.2","65.8","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Participation rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642720094","3.6.2.1","0.8","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642720100","3.7.1.1","61.8","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment rate","Estimate","Unadjusted","Percent","239","units","0","v1642720101","3.7.1.2","60.6","","","","1"
"2011-01","Vancouver, British Columbia","2021S0503933","Employment rate","Standard error of estimate","Seasonally adjusted","Percent","239","units","0","v1642720102","3.7.2.1","0.8","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Population","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719940","1.1.1.1","3294.5","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Population","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719941","1.1.1.2","3294.5","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Labour force","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719948","1.2.1.1","2209.0","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Labour force","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719949","1.2.1.2","2175.9","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Labour force","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719950","1.2.2.1","24.3","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Labour force","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","units","0","v1642719952","1.2.3.1","16.1","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719956","1.3.1.1","2034.0","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719957","1.3.1.2","1997.0","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719958","1.3.2.1","25.6","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Employment","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","units","0","v1642719960","1.3.3.1","16.0","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment","Estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719964","1.4.1.1","174.9","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment","Estimate","Unadjusted","Persons in thousands","428","units","0","v1642719965","1.4.1.2","178.9","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","units","0","v1642719966","1.4.2.1","11.8","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","units","0","v1642719968","1.4.3.1","11.9","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment rate","Estimate","Seasonally adjusted","Percent","239","units","0","v1642719972","1.5.1.1","7.9","","","","1"
"2011-02","Montréal, Quebec","2021S0503462","Unemployment rate","Estimate","Unadjusted","Percent","239","units","0","v1642719973","1.5.1.2","8.2","","","","1"
