date,City,employment,employment_rate,labour_force,participation_rate,population,unemployment,unemployment_rate
2023-02-01,Vancouver,1600.3,65.1,1696.4,69.1,2456.4,96.1,5.7
2023-03-01,Montreal,2372.7,65.4,2491.6,68.6,3629.7,119.0,4.8
2023-03-01,Toronto,3609.2,64.1,3827.6,68.0,5629.5,218.4,5.7
2023-03-01,Vancouver,1602.2,65.0,1685.4,68.3,2466.2,83.2,4.9
2023-04-01,Montreal,2393.0,65.8,2507.1,68.9,3636.8,114.1,4.6
2023-04-01,Toronto,3603.1,63.8,3818.6,67.6,5645.3,215.5,5.6
2023-04-01,Vancouver,1604.3,64.8,1698.3,68.6,2475.0,94.0,5.5
2023-05-01,Montreal,2404.2,66.0,2513.2,69.0,3644.6,109.0,4.3
2023-05-01,Toronto,3608.9,63.7,3845.2,67.9,5663.3,236.3,6.1
2023-05-01,Vancouver,1616.3,65.0,1702.2,68.5,2485.0,85.9,5.0
2023-06-01,Montreal,2393.1,65.5,2507.4,68.6,3652.9,114.4,4.6
2023-06-01,Toronto,3640.1,64.0,3888.0,68.4,5683.8,247.9,6.4
2023-06-01,Vancouver,1622.1,65.0,1722.2,69.0,2494.8,100.1,5.8
2023-07-01,Montreal,2383.6,65.1,2514.1,68.7,3661.3,130.5,5.2
2023-07-01,Toronto,3641.6,63.8,3892.9,68.2,5704.8,251.4,6.5
2023-07-01,Vancouver,1621.4,64.7,1724.3,68.8,2504.6,102.8,6.0
2023-08-01,Montreal,2392.6,65.2,2516.0,68.6,3669.9,123.4,4.9
2023-08-01,Toronto,3625.7,63.3,3881.2,67.8,5727.3,255.5,6.6
2023-08-01,Vancouver,1644.4,65.4,1742.0,69.3,2514.9,97.6,5.6
2023-09-01,Montreal,2401.1,65.3,2532.3,68.8,3678.8,131.2,5.2
2023-09-01,Toronto,3653.8,63.6,3911.2,68.0,5747.8,257.4,6.6
2023-09-01,Vancouver,1655.8,65.6,1768.0,70.0,2524.5,112.1,6.3
2023-10-01,Montreal,2363.1,64.1,2514.3,68.2,3688.7,151.2,6.0
2023-10-01,Toronto,3635.3,63.0,3906.4,67.7,5770.1,271.1,6.9
2023-10-01,Vancouver,1664.7,65.7,1767.9,69.8,2533.6,103.2,5.8
2023-11-01,Montreal,2363.2,63.9,2514.3,68.0,3697.3,151.1,6.0
2023-11-01,Toronto,3633.9,62.7,3899.9,67.3,5792.2,266.0,6.8
2023-11-01,Vancouver,1663.3,65.4,1767.1,69.5,2543.2,103.8,5.9
2023-12-01,Montreal,2359.8,63.7,2509.8,67.7,3705.6,150.1,6.0
2023-12-01,Toronto,3624.8,62.3,3894.0,67.0,5815.0,269.2,6.9
2023-12-01,Vancouver,1676.3,65.7,1789.4,70.1,2552.9,113.1,6.3
2024-01-01,Montreal,2339.0,63.0,2483.2,66.8,3714.8,144.2,5.8
2024-01-01,Toronto,3617.0,61.9,3895.2,66.7,5839.6,278.3,7.1
2024-01-01,Vancouver,1667.0,65.0,1763.7,68.8,2564.4,96.6,5.5
2024-02-01,Montreal,2336.2,62.7,2480.6,66.6,3724.0,144.4,5.8
2024-02-01,Toronto,3621.7,61.8,3916.0,66.8,5863.2,294.3,7.5
2024-02-01,Vancouver,1670.0,64.9,1759.6,68.3,2575.0,89.6,5.1
2024-03-01,Montreal,2338.2,62.6,2481.4,66.5,3733.8,143.2,5.8
2024-03-01,Toronto,3643.6,61.9,3950.2,67.1,5885.7,306.6,7.8
2024-03-01,Vancouver,1668.2,64.5,1770.9,68.5,2585.5,102.6,5.8
2024-04-01,Montreal,2331.1,62.2,2477.3,66.2,3744.8,146.2,5.9
2024-04-01,Toronto,3654.9,61.8,3968.4,67.1,5910.8,313.6,7.9
2024-04-01,Vancouver,1679.6,64.7,1777.7,68.5,2596.7,98.1,5.5
2024-05-01,Montreal,2338.0,62.2,2492.1,66.3,3756.1,154.1,6.2
2024-05-01,Toronto,3679.2,62.0,3983.0,67.1,5934.8,303.8,7.6
2024-05-01,Vancouver,1666.3,63.9,1770.6,67.9,2608.0,104.3,5.9
2024-06-01,Montreal,2336.0,62.0,2502.3,66.4,3767.7,166.2,6.6
2024-06-01,Toronto,3661.3,61.5,3964.0,66.5,5956.8,302.7,7.6
2024-06-01,Vancouver,1654.8,63.2,1756.2,67.1,2619.0,101.4,5.8
2024-07-01,Montreal,2351.8,62.2,2519.3,66.7,3779.5,167.5,6.6
2024-07-01,Toronto,3676.7,61.5,3977.1,66.5,5980.6,300.4,7.6
2024-07-01,Vancouver,1670.4,63.5,1776.1,67.5,2630.2,105.8,6.0
2024-08-01,Montreal,2369.7,62.5,2540.0,67.0,3790.2,170.3,6.7
2024-08-01,Toronto,3689.6,61.5,4041.4,67.3,6001.9,351.8,8.7
2024-08-01,Vancouver,1661.6,62.9,1770.2,67.1,2640.1,108.6,6.1
2024-09-01,Montreal,2372.4,62.4,2530.9,66.6,3801.4,158.6,6.3
2024-09-01,Toronto,3687.9,61.2,4001.4,66.5,6021.1,313.5,7.8
2024-09-01,Vancouver,1663.8,62.8,1775.8,67.0,2650.1,112.0,6.3
2024-10-01,Montreal,2381.2,62.5,2554.3,67.0,3810.5,173.1,6.8
2024-10-01,Toronto,3695.5,61.2,4012.2,66.5,6036.6,316.7,7.9
2024-10-01,Vancouver,1677.4,63.1,1789.4,67.3,2657.5,112.0,6.3
2024-11-01,Montreal,2393.5,62.7,2568.9,67.3,3818.5,175.4,6.8
2024-11-01,Toronto,3684.7,60.9,4054.5,67.0,6048.7,369.8,9.1
2024-11-01,Vancouver,1673.4,62.8,1789.4,67.2,2663.5,116.0,6.5
